# 함선 가구. id · room · model · interaction 은 코드가 찾는 값이므로 바꾸지 않는다.
# room: any = 어느 방이든, 그 외에는 그 용도의 방에만 놓을 수 있다.
# cols × rows 는 바닥 격자 칸수 (0.5 m 격자), height 는 표시 높이(m).
# craft 는 "아이템id:수량" 을 | 로 이어 쓴다. 비우면 제작 불가.
# maxLevel 2 이상이면 강화 비용은 data/furniture_upgrades.csv 에 적는다.
# stackLimit 은 같은 자리에 겹쳐 쌓을 수 있는 층수다 (은퇴한 옛 재배층 전용).
# retired 1 = 은퇴한 가구. 목록 · 제작 · 배치 어디에도 안 나오고, 이미 함선에 있던 것은 로드할 때 재료로 함선 창고에 환불된다.
id,name,room,cols,rows,height,model,interaction,craft,maxLevel,stackLimit,retired,color,description
furn_analyzer,분석기,lab,4,2,1.8,analyzer,analyzer,mat_scrap:10|mat_circuit:2|mat_cable:3|mat_bio_sample:4,3,,,#c79fff,미확인 표본을 현실 시간에 맞춰 해석합니다. 강화하면 해석 칸이 1 → 2 → 3 개로 늘어나고 해석 도감이 찰수록 빨라집니다.
furn_bench_extract,추출기,lab,4,2,1.2,bench_extract,workbench_extract,mat_scrap:10|mat_alloy:2|mat_cable:2,3,,,#9fe0c8,작물 · 약재 · 광물에서 성분을 뽑아냅니다. 연구실에 설치하세요.
furn_bench_mixer,조합대,lab,4,2,1,bench_mixer,workbench_mixer,mat_scrap:8|mat_alloy:2|mat_circuit:1,3,,,#ffd08a,성분을 조합해 행성 환경을 막는 준비물을 만듭니다. 연구실에 설치하세요.
furn_bookshelf,책장,library,2,1,2,bookshelf,bookshelf,mat_scrap:6|mat_alloy:1,1,,,#c9a77a,레이드에서 주운 책을 꽂습니다. 꽂힌 책은 그 숙련의 상승량을 올리고 도감에 기록됩니다 (6권).
furn_locker,사물함,any,1,2,2,locker,none,mat_scrap:4,1,,,#b0b8c4,강철 사물함.
furn_table,작업 테이블,any,3,2,0.85,table,none,mat_scrap:5,1,,,#b0a58c,넓은 강철 테이블.
furn_shelf,선반,any,2,1,1.6,shelf,none,mat_scrap:3,1,,,#b0a58c,벽 선반.
furn_crate,보급 상자,any,1,1,0.7,crate,none,mat_scrap:2,1,,,#d9b98a,장식용 보급 상자.
furn_lamp,스탠드 조명,any,1,1,1.7,lamp,none,mat_scrap:2|mat_cable:1,1,,,#ffe3a0,"따뜻한 빛의 스탠드 (발광 재질, 조명 아님)."
furn_plant,화분,any,1,1,1.1,plant,none,mat_scrap:1|herb_bloodroot:1,1,,,#7ee08a,작은 관엽 식물.
furn_chair,의자,any,1,1,0.9,chair,none,mat_scrap:2,1,,,#b0b8c4,강철 의자.
furn_bunk,침상,any,2,3,1.6,bunk,none,mat_scrap:6|mat_alloy:1,1,,,#9fb4ff,2단 침상.
furn_bench_cook,조리대,kitchen,4,2,1.1,bench_cook,workbench_cook,mat_scrap:8|mat_alloy:2|mat_cable:2,3,,,#ffb0a0,작물과 배양 산물을 요리합니다. 강화하면 특선 요리가 열립니다.
furn_dining_table,식탁,kitchen,4,3,0.9,dining_table,dining_table,mat_scrap:6|mat_cloth:6|mat_cable:1,1,,,#ffc8a0,만든 요리를 먹어 다음 레이드 1회분 버프를 싣습니다. 공유 함선의 식탁에서는 분대 전원에게 차릴 수 있습니다.
furn_culture_tank,배양조,greenhouse,4,2,2.0,culture_tank,culture_tank,mat_scrap:10|mat_circuit:3|mat_cable:3|mat_bio_sample:6,3,,,#8fe8ff,영양 배지를 채우고 세포주를 넣어 현실 시간에 맞춰 배양합니다. 강화하면 배양 칸이 1 → 2 → 3 개로 늘어납니다.
furn_bench_print,3D 프린터,lab,4,2,1.6,bench_print,workbench_print,mat_scrap:12|mat_circuit:4|mat_alloy:4|mat_control_module:1,3,,,#d0c4ff,필라멘트로 상급 가방과 주머니를 찍어 냅니다. 연구실에 설치하세요.
# ── 2026-09-12 (사용자 결정): 조종석의 고정 설비였던 둘이 **공용 시설 가구**(room any)가 됐다 ──
# 모든 함선이 처음부터 조종석에 한 대씩 갖는다 (housing/ShipState 가 새 함선 · 옛 세이브 모두 채운다 — 좌표는
# shared/housing 의 COCKPIT_DEFAULT_FURNITURE). craft 가 비어 있어 제작할 수 없고, 회수하면 가구 창고에서 다시 놓는다.
# 같은 날 시뮬레이션실이 없어지면서 관물대 · 표적 레인 · 시뮬레이션 허브가 은퇴했다 (위의 retired 1).
furn_implant_bay,전술 임플란트 시술대,any,3,4,1.7,implant_bay,implant_bay,,1,,,#8fe8ff,전술 임플란트를 장착하고 교체합니다. 어느 방에나 옮겨 놓을 수 있습니다.
furn_corp_computer,기업 네트워크 컴퓨터,any,3,3,1.3,corp_computer,corp_computer,,1,,,#7cf07a,기업 네트워크에 접속해 거래 · 계약 · 퀘스트를 확인합니다. 어느 방에나 옮겨 놓을 수 있습니다.
