# NPC 퀘스트 (2026-09-14). id 는 세이브 · 서버 크레딧 원장(quest:<id>) · data/crypto.csv 의 unlockQuest 가 찾는 값이므로 바꾸지 않는다.
# npc = data/npcs.csv 의 id. 같은 NPC 의 퀘스트는 이 파일의 줄 순서대로 하나씩 제안된다 (그 NPC 에 대기 중인 제안이 있으면 다음 제안은 오지 않는다).
# 제안 조건(모두 만족): reqLevel = 캐릭터 레벨 · reqRep = "기업:신뢰도 레벨" | … · reqQuests = 먼저 완료한 퀘스트 id | ….
# 보상: rewardCredits (서버 원장으로 한 번만 지급 — 암호화폐 해금 퀘스트는 0 보다 커야 한다) · rewardXp · rewardRep = "기업:양" | … · rewardItems = "아이템id:수량" | ….
# npcTrust (2026-09-14) = 이 퀘스트를 **낸 NPC** 의 개인 신뢰도 보상. 기업 신뢰도(rewardRep)와 함께 주고 서로를 대신하지 않는다 — 무소속 NPC(레이븐 · 케인)는 이것만 받는다.
#   레벨 표는 기업과 같은 REP_TABLE(data/tables.csv, 0/100/300/700/1500/3000). 체인 초반은 작게 후반은 크게 잡아, 한 NPC 의 체인을 다 깨면 기업 NPC 는 Lv.3 · 무소속은 Lv.4 가 된다.
#   크레딧이 아니라 서버 검증과 무관하다 (credits:tx 를 타지 않는다).
# 2026-09-17 사용자 결정: 기업 신뢰도 Lv.0 → 1 은 레이븐 다음에 오는 기업 NPC 첫 퀘스트로만 오른다 — q_ce_s1(민지후) = ceres:100 · q_nm_s1(차유나) = nomad:100
#   (REP_TABLE Lv.1 = 100). 계약은 Lv.1 부터(contracts.csv), Lv.0 기업은 기업 탭에서 고를 수 없다(tuning.csv CORP_ACCESS_REP_LEVEL). 헬릭스 · 바스티온은 그대로.
# 대사 (| 로 말풍선을 나눈다): offer = 퀘스트 카드 앞 · accept = 수락 뒤 · complete = 완료 보고 뒤.
#   decline · brief 는 **은퇴했다** (2026-09-14 3차 사용자 결정 — 「생각해보지」 선택지 제거). 새로 쓰이지 않고 옛 대화 기록을 푸는 데만 남는다 —
#   지우면 그 기록이 빈 말풍선이 되므로 그대로 둔다 (계약의 airstrike · secondary 와 같은 처리). 새 퀘스트 줄은 두 칸을 비워도 된다.
# 채굴 인가 퀘스트 id 는 고정: q_hx_permit · q_bs_permit · q_nm_permit · q_ce_permit. 목표는 data/npc_objectives.csv.
# 2026-09-21 (agent SURVEY): mailSubject · mailBody · mailItems = 이 퀘스트가 **제안될 때** 우편으로 보내는 소포 (MailRef.send — id npc:<npc>:<퀘스트 id>, 한 번만).
#   mailItems = "아이템id:수량" | …. 세 칸을 모두 비우면 우편이 없다. 윤시아(q_at_*)의 체인은 조사 대상 기록(npc_objectives.csv kind survey)만 쓴다.
id,npc,name,summary,reqLevel,reqRep,reqQuests,rewardCredits,rewardXp,rewardRep,rewardItems,npcTrust,offer,accept,decline,brief,complete,mailSubject,mailBody,mailItems
q_bs_s3,npc_oh_sera,헬릭스보다 정확하게,베르단트 III 습지에서 지정사수소총 장거리 교전 기록을 갱신한다.,5,,q_bs_s2,550,650,bastion:40,att_stock:1,300,박도윤이 기관단총 기록을 보내왔어요. 숫자는 많은데… 정확도는 형편없더군요.|베르단트 III 에서 지정사수소총 기록을 갱신해서 돌려줄 생각이에요.,습지는 시야가 나빠요. 그래서 의미가 있죠.,기록 경쟁은 제가 좋아서 하는 거니까요. 부담 갖지 마세요.,베르단트 III 에서 지정사수소총으로 인간형 적 10명. 그리고 거기서 얻은 지정사수소총 하나를 가지고 탈출.,갱신 완료. 박도윤한테는 제가 직접 알려 줄게요.
q_bs_s4,npc_oh_sera,산탄 근접 교전,실내 근접전 규격 시험. 산탄총 교전 기록을 남기고 현장 산탄총을 회수한다.,7,,q_bs_s3,700,800,bastion:50,key_basement_amber:1,400,강태오 이사님이 실내전 규격을 새로 잡으신대요. 산탄총이죠.|산탄총으로 정리하고 현장 산탄총도 하나 가져와 주세요. 지하실 열쇠는 보상으로 드릴게요. 이사님이 곧 쓰실 거라서요.,문 앞에서 멈추지 마세요. 산탄총은 거리가 생명이에요.,근접전을 싫어하는 분들이 많죠.,산탄총 막타로 인간형 적 8명. 그리고 그 레이드에서 얻은 산탄총 하나를 가지고 탈출이에요.,좋은 기록이에요. 열쇠는 챙기세요. 이사님 연락이 곧 갈 거예요.
q_bs_e1,npc_kang_taeo,설계도 회수,전진기지 지하실에 남은 바스티온 설계도를 회수한다. 기지를 찾은 레이드에 컨테이너를 뒤지고 지하실 문을 연다.,,,,600,700,bastion:150,,150,철수 때 전진기지 지하실에 설계도 사본을 두고 왔습니다. 제 실수입니다.|헬릭스가 먼저 찾기 전에 기지를 뒤지고 지하실을 여십시오. 열쇠가 필요합니다.,사본은 회수 즉시 파기합니다. 내용은 보지 마십시오.,…알겠습니다. 다만 오래 기다리진 않겠습니다.,전진기지를 찾아 같은 레이드에 컨테이너 3개 조사. 그리고 지하실 문을 여십시오. 지하실 열쇠가 있어야 합니다.,설계도 확인. 바스티온은 빚을 잊지 않습니다.
q_bs_permit,npc_kang_taeo,바스티온 채굴 인가,바스티온 본드(BSTN) 채굴 인가. 규격 부품을 납품하고 현장 저격소총으로 실전 이력을 증명한다.,,bastion:2,q_bs_e1,300,600,bastion:200,,200,바스티온 본드는 설비 채권입니다. 채굴 함선도 설비 기준을 통과해야 하죠.|규격 부품과 현장에서 쓰던 저격소총 한 정. 우리는 실전 이력이 있는 장비를 신뢰합니다.,심사는 제가 직접 합니다.,기준은 내려가지 않습니다. 준비되면 오십시오.,회로 기판 6개와 합금 판 10개 납품. 레이드에서 얻은 저격소총 하나를 지니고 탈출. 완료하면 BSTN 을 채굴하고 거래할 수 있습니다.,심사 통과. 바스티온 본드를 채굴하고 거래할 수 있습니다.
q_bs_e2,npc_kang_taeo,저격수의 증명,카민 I 평원의 레이더를 상대로 저격소총의 한 발을 증명한다.,,bastion:2,q_bs_permit,900,1000,bastion:300,att_scope6:1,300,헬릭스 한서진 실장이 우리를 「느린 장인」이라 부른다더군요.|느린 것이 아니라 한 발이면 충분한 겁니다. 카민 I 에서 그걸 보여 주십시오.,호흡을 세고 쏘십시오.,서두르는 사람은 빗나갑니다. 준비되면 오십시오.,저격소총 막타로 인간형 적 6명. 그리고 카민 I 에서 레이더 10명.,한 발의 무게를 아는 사람이군요. 조준경에는 제 서명이 들어가 있습니다.
q_bs_e3,npc_kang_taeo,헤비 사냥,미니건을 든 네임드 레이더 헤비를 처치하고 강화합금 잉곳을 납품해 신형 방패 설계를 완성한다.,,bastion:3,q_bs_e2,1500,1500,bastion:600,wpn_sr_g4:1,450,헤비라는 레이더가 미니건으로 우리 수송대를 갈아 버렸습니다.|그 화력을 막을 방패를 설계 중입니다. 잉곳과 그 자의 최후가 필요합니다.,호위병부터 떼어 내십시오. 헤비는 혼자 다니지 않습니다.,무모하지 않은 판단입니다. 기다리겠습니다.,네임드 레이더 헤비 처치. 강화합금 잉곳 6개 납품. 헤비는 난이도 높은 행성에서 드물게 나타납니다.,수송대 유족들에게 전하겠습니다. 이 저격소총은 바스티온 최고 등급입니다.
q_nm_s1,npc_cha_yuna,수선용 천,노마드 수선소에서 쓸 천조각과 전력 케이블을 모은다.,,,,150,200,nomad:100,bag_uncommon:1,100,가방 끈이 다 끊어져서 수선을 못 해. 천조각이 산더미로 필요해.|케이블도 좀. 수선 장비 전원선이 삭았거든.,고마워! 네 가방도 공짜로 봐 줄게.,그래. 급하진 않아. 끈 없이 메고 다니지 뭐.,천조각 15개. 전력 케이블 6개. 창고에 있으면 바로 넣어 줘.,수선소 재가동! 이건 내가 손본 가방이야. 가져가.
q_nm_s2,npc_cha_yuna,현장 회수품,실전에서 굴러 본 돌격소총과 버그 생체 조직을 회수해 수선 데이터로 쓴다.,,,q_nm_s1,300,350,nomad:30,heal_bandage_herb:3,200,새 총은 데이터가 없어. 누가 쓰다 버린 총이 제일 솔직하지.|레이드에서 주운 돌격소총 하나랑 버그 생체 조직 좀 챙겨 와. 둘 다 그 레이드에서 얻은 걸로.,창고에 있던 거 들고 오면 티 나. 진짜 현장 거로 부탁해.,알았어. 네 가방에 여유 생기면 다시 말해 줘.,그 레이드에서 얻은 돌격소총 1정과 생체 조직 5개를 몸에 지니고 탈출하면 돼.,총열 마모가 딱 좋네. 마르코 대장님한테도 네 얘기 해 뒀어.
q_nm_s3,npc_cha_yuna,전차 시승,선로 전차용 짐칸 고정대 설계를 위해 전차를 직접 움직여 보고 기관단총을 회수한다.,4,,q_nm_s2,450,500,nomad:40,pouch_gather:1,300,노마드가 선로 전차용 짐칸 고정대를 만들고 있어. 실제로 굴려 본 사람 의견이 필요해.|전차가 있는 구역이면 직접 호출하거나 시동 걸어 봐. 가는 김에 기관단총도 하나.,선로가 없는 구역도 있으니까 운에 맡기자.,그래. 전차는 기다려 주니까.,전차 호출이나 시동 한 번. 그리고 그 레이드에서 얻은 기관단총 1정 회수.,고정대 설계 수정해야겠다. 이 주머니 써 봐. 채집할 때 편해.
q_nm_s4,npc_cha_yuna,탐사 차량 정비 기록,탐사 차량에 올라 흙길 노선을 확인하고 노선 주변의 버그를 정리한다.,6,,q_nm_s3,600,700,nomad:50,armor_3:1,400,탐사 차량 노선에 버그가 들끓는대. 정비반이 못 나가고 있어.|한 번 타 보고 노선 근처 버그를 싹 치워 줘.,차 안에선 안전하니까 걱정 마. 내리면 얘기가 다르지만.,정비반은 계속 대기하겠네. 알았어.,탐사 차량 한 번 탑승. 버그 25마리 처치.,정비반 출동했어! 이 방탄복은 내가 제일 아끼던 거야.
q_nm_e1,npc_marco_lee,원정로 개척,보레아스 IX 동토에 새 원정로를 낸다. 구조물 옥상 스캐너로 지형을 받고 연구소 위치를 확인한다.,,,,550,650,nomad:150,shield_charger_hi:2,150,보레아스 IX 는 지도가 엉망이야. 원정로를 새로 그릴 거다.|옥상 스캐너 한 번. 그리고 연구소 자리 하나만 짚어 줘.,추위보다 방심이 먼저 죽인다. 명심해.,원정은 준비된 사람만 가는 거지.,보레아스 IX 에서 맵 스캐너 작동. 연구소 발견.,좋은 지도야. 원정대가 네 이름으로 길을 부를지도 모르겠군.
q_nm_permit,npc_marco_lee,노마드 채굴 인가,노마드 마일(NMDM) 채굴 인가. 전자 부품과 케이블을 납품하고 탐사 차량 노선에 기록을 남긴다.,,nomad:2,q_nm_e1,300,600,nomad:200,,200,노마드 마일은 원정 거리를 코인으로 바꾼 거다. 움직인 사람만 캘 수 있지.|부품 좀 대고 탐사 차량 노선에 네 기록을 올려.,마일리지는 거짓말을 안 한다.,길은 어디 안 가. 나중에 와.,회로 기판 6개와 전력 케이블 8개 납품. 탐사 차량 한 번 탑승. 완료하면 NMDM 을 채굴하고 거래할 수 있다.,인가 났다. 노마드 마일 채굴과 거래가 열렸어.
q_nm_e2,npc_marco_lee,옛 분대의 흔적,피로스 VII 전진기지에 마르코의 옛 분대 기록이 남아 있다. 기지를 찾아 뒤지고 눌러앉은 레이더를 쫓아낸다.,,nomad:2,q_nm_permit,900,1000,nomad:300,bag_rare:1,300,피로스 VII 에서 내 분대를 잃었다. 유나만 살아 나왔지.|그 전진기지에 분대 기록이 남아 있을 거다. 레이더들이 눌러앉아 있다더군.,기록만 가져와. 복수는 내 몫이 아니다.,…그래. 쉬운 부탁은 아니지.,피로스 VII 에서 전진기지 발견. 같은 레이드에 컨테이너 3개 조사. 레이더 8명 처치.,…고맙다. 유나한테는 내가 직접 말하마. 이 가방은 그 분대의 것이었다.
q_nm_e3,npc_marco_lee,마지막 원정,카민 I 원정로의 위협인 네임드를 쓰러뜨리고 스캐너로 경로를 확정한다.,,nomad:3,q_nm_e2,1400,1500,nomad:600,bag_epic_tac:1,450,은퇴 전에 마지막 원정로를 내려고 한다. 카민 I 다.|길목엔 네임드들이 어슬렁거리지. 누구든 좋다. 하나 쓰러뜨려. 그리고 카민 I 에서 스캐너를 돌려.,살아 돌아와. 그게 노마드의 유일한 규칙이다.,마지막 원정은 서두를 일이 아니지.,네임드 아무나 하나 처치. 카민 I 에서 맵 스캐너 작동.,길이 열렸다. 이 전술 가방은 내 마지막 원정 장비다. 네가 메라.
q_ce_s1,npc_min_jihoo,약초 표본,세레스 온실 비교 연구용 야생 약초와 생체 조직을 모은다.,,,,150,200,ceres:100,seed_capfungus:2,100,야생 혈근초와 함선에서 기른 것을 비교하고 싶어요.|생체 조직도 조금요. 배지 실험에 쓰려고요.,정말요? 감사합니다! 표본 라벨은 제가 붙일게요.,아 네… 괜찮아요. 제가 좀 더 버텨 볼게요.,혈근초 6개. 생체 조직 8개예요.,야생종이 확실히 달라요! 이 균사는 답례예요. 함선에서 길러 보세요.
q_ce_s2,npc_min_jihoo,함선 작물 시식,함선 온실에서 기른 작물 세 종을 납품해 영양 분석을 돕는다.,,,q_ce_s1,300,400,ceres:30,soil_mineral:1,200,우주선 온실 작물이 행성 작물보다 영양이 떨어진다는 보고가 있어요.|저는 아니라고 생각해요. 직접 기른 작물로 증명하고 싶어요.,천천히 길러 주세요. 급하면 맛이 없거든요.,온실이 아직 없으시면 나중에라도 괜찮아요.,회색 덩이줄기 · 단백 콩깍지 · 온실 잎채소 각 6개. 함선 온실에서 기르면 돼요.,영양가 차이 없음! 서하람 본부장님께 보고했어요. 본부장님이 연락하실지도 몰라요.
q_ce_s3,npc_min_jihoo,미확인 세포,해석하지 않은 미확인 세포와 베르단트 III 의 터미니드 분비선을 확보한다.,4,,q_ce_s2,450,550,ceres:40,heal_syringe:1,300,본부장님이 미확인 세포 I 을 해석 전 상태로 원하세요. 이유는… 말씀을 안 하시네요.|베르단트 III 터미니드 분비선도요. 그 레이드에서 얻은 것만 쓸 수 있대요.,분석기에 넣지 말고 그대로 가져와 주세요.,저도 내키지 않아요. 괜찮아요.,미확인 세포 I 3개 납품. 베르단트 III 에서 얻은 터미니드 분비선 1개를 지니고 탈출.,받았어요. …본부장님이 이걸로 뭘 하시는지 저도 궁금해요.
q_ce_s4,npc_min_jihoo,배양 고기 시제품,배양조에서 만든 고기 페이스트와 갓버섯으로 세레스 전투식량 시제품을 만든다.,6,,q_ce_s3,600,700,ceres:50,mat_medium_rich:2,400,전투식량 시제품을 만들어요! 배양 고기 페이스트가 핵심이에요.|갓버섯도 있으면 맛이 훨씬 나아져요. 둘 다 함선에서 만드실 수 있어요.,배지는 아끼지 마세요. 좋은 걸로 드릴게요.,배양조가 준비되면 다시 연락 주세요.,고기 페이스트 3개. 식용 갓버섯 4개 납품이에요.,시식단 반응 최고예요! 강화 배지 드릴게요. 더 좋은 고기가 나올 거예요.
q_ce_e1,npc_seo_haram,분석 역량 증명,함선 분석기로 얻은 소 · 닭 세포를 납품해 세레스 협력 연구소 자격을 증명한다.,,,,550,650,ceres:150,mat_medium_basic:3,150,민지후 연구원의 표본은 봤어요. 이제 당신 분석기 차례예요.|소 세포와 닭 세포. 분석기가 뱉어 내는 결과는 운이지만 운도 실력이죠.,시간은 걸릴 거예요. 분석기는 재촉한다고 빨라지지 않아요.,분석기가 없다면 대화할 이유도 없죠.,소 세포 2개와 닭 세포 2개 납품. 미확인 세포를 분석기에서 해석하면 나옵니다.,세포 활성 양호. 협력 연구소로 등록해 두겠어요.
q_ce_permit,npc_seo_haram,세레스 채굴 인가,세레스 셀(CRSC) 채굴 인가. 연구 장비 부품과 생체 조직과 해석 전 유전자 표본을 제출한다.,,ceres:2,q_ce_e1,300,600,ceres:200,,200,세레스 셀은 임상 데이터 지분이에요. 데이터를 낸 사람만 캐죠.|부품과 조직. 그리고 해석 전 유전자 표본 하나. 그걸로 당신 몫을 정하겠어요.,유전자 표본은 절대 해석하지 말고 가져오세요.,지분은 기다려 주지 않아요.,회로 기판 6개 · 생체 조직 10개 · 미확인 유전자 I 1개 납품. 완료하면 CRSC 를 채굴하고 거래할 수 있습니다.,인가 완료. 세레스 셀을 채굴하고 거래할 수 있어요.
q_ce_e2,npc_seo_haram,연구소 기록 말소,버려진 연구소에 남은 세레스의 옛 실험 기록을 찾아 없앤다. 한 레이드에 연구소를 찾아 뒤진다.,,ceres:2,q_ce_permit,900,1000,ceres:300,boost_stabilizer:2,250,버려진 연구소 몇 곳에 세레스의 옛 실험 기록이 남아 있어요.|누군가 그걸 팔고 다닌다더군요. 레이븐이라던가. 먼저 치워 주세요.,읽지 마세요. 읽어도 이해 못 할 테지만.,…다른 사람에게 맡기겠어요.,연구소를 찾고 같은 레이드에 컨테이너 4개 조사. 그리고 맵 스캐너 작동.,깨끗하네요. 민지후 연구원에게는 이 일을 말하지 마세요.
q_ce_e3,npc_seo_haram,고급 배양 산물,배양 소고기와 달걀과 카제인 세포로 세레스 고급 영양제 원료를 마련한다.,,ceres:3,q_ce_e2,1100,1200,ceres:400,mat_medium_rich:3,300,고급 영양제 라인을 엽니다. 원료는 전부 배양 산물이에요.|배양 소고기 · 배양 달걀 · 카제인 세포. 시간이 오래 걸리는 목록이죠.,품질은 제가 판단해요.,원료가 없는 라인은 멈춰 있을 뿐이죠.,배양 소고기 2개 · 배양 달걀 2개 · 카제인 세포 1개 납품.,원료 검수 통과. 라인을 가동하죠.
q_ce_e4,npc_seo_haram,잠긴 방,연구소 2층 잠긴 방에 서하람이 봉인한 표본이 있다. 키카드로 문을 열고 그 레이드에서 얻은 미확인 세포를 가지고 나온다.,,ceres:3,q_ce_e3,1500,1500,ceres:600,pouch_medical:1,400,연구소 2층에 잠긴 방이 있어요. 거기 표본은 제가 봉인한 거예요.|키카드로 열고 그 레이드에서 나온 미확인 세포 I 을 가지고 나오세요. 다른 것엔 손대지 말고요.,키카드는 레이드에서 구하세요. 세레스 이름으로는 줄 수 없어요.,봉인은 오래 버티지 않아요.,연구소 2층 잠긴 방 문 열기. 그 레이드에서 얻은 미확인 세포 I 2개를 지니고 탈출.,…이제 아무도 이 표본을 못 찾겠죠. 약속대로 보상은 충분히 드려요.
